store_id,date,clicks,spend,acos,sales
store_a,2026-02-20,120,210.0,35.0,600.0
store_a,2026-02-21,115,200.0,34.5,580.0
store_a,2026-02-22,123,215.0,33.1,650.0
store_a,2026-02-23,128,225.0,34.1,660.0
store_a,2026-02-24,130,230.0,34.3,670.0
store_a,2026-02-25,132,232.0,33.1,700.0
store_a,2026-02-26,138,236.0,32.2,733.0
store_a,2026-02-27,140,228.0,30.0,760.0
store_a,2026-02-28,145,231.0,29.8,775.0
store_a,2026-03-01,150,234.0,29.3,798.0
store_a,2026-03-02,153,240.0,29.1,825.0
store_a,2026-03-03,156,242.0,28.7,843.0
store_a,2026-03-04,160,245.0,28.3,867.0
store_a,2026-03-05,164,248.0,28.0,886.0
